"ID","Reef","lat","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-290","Kai (Piliu Kuth) Reef",-9.8,4.4,4.9,6.8,1.4,2.4,3,2.4,4.3,0.6,0.1,0.7,0,1.4,1.5,0.5,1.6,7.4,0.1,2.3,2.3,3.8,10.7,2,3.4,3.6,1.6,3.1,4.7,7.3,7.3,0.7,2,4.3,2.4,10.4,5.1,7,7.6,11.4,6.4,3.7,1.4,5,9.7
"09-291","Beka Reef",-9.8,4.4,5,6.6,1.3,2.4,3,2.5,4.3,0.7,0.2,0.7,0.1,1.3,1.5,0.6,1.6,7.4,0.2,2.4,2.4,3.8,10.7,2,3.3,3.4,1.6,3.1,4.5,7.2,7.2,0.7,2,4.2,2.3,10.2,5.1,6.8,7.4,11.2,6.3,3.4,1.6,4.7,9.3
"09-294","Dauan (Cornwallis) Island Reef",-9.4,5,5.2,5.3,0.9,2.2,3.2,2.9,3.6,0.8,0.1,0.7,0.2,0.5,1.3,0.5,1.5,7.7,0.8,3.2,3.2,3.6,9.4,1.7,3,3,1.1,4.4,5.9,5.2,5.2,0.6,2,3.5,2.2,10.2,4.6,5.7,6.4,9.7,5.5,2.4,2.4,2.7,5.1
"09-296","North Reef",-9.3,5,5.2,5.3,0.9,2.2,3.2,2.9,3.6,0.8,0.1,0.7,0.2,0.5,1.3,0.5,1.5,7.7,0.8,3.2,3.2,3.6,9.4,1.7,3,3,1.1,4.4,5.9,5.2,5.2,0.6,2,3.5,2.2,10.2,4.6,5.7,6.4,9.7,5.5,2.4,2.4,2.7,5.1
"09-297","U/N Reef",-9.4,5,5.2,5.3,0.9,2.2,3.2,2.9,3.6,0.8,0.1,0.7,0.2,0.5,1.3,0.5,1.5,7.7,0.8,3.2,3.2,3.6,9.4,1.7,3,3,1.1,4.4,5.9,5.2,5.2,0.6,2,3.5,2.2,10.2,4.6,5.7,6.4,9.7,5.5,2.4,2.4,2.7,5.1
"09-299","Saibai Island Reef",-9.4,5.3,5.7,5.5,0.8,2.2,3.3,2.8,3.4,0.8,0.1,0.7,0.2,0.4,1.3,0.5,1.4,7.5,1.1,3,3.2,3.5,8.8,1.7,2.7,2.7,1.1,4.5,6.4,5,4.7,0.5,1.8,3.4,2,10.3,4.3,5.5,6,9.3,5.8,2.4,2.3,2.8,6
"09-308","U/N Reef",-9.3,5.8,6.7,5.8,0.7,2.2,3.5,2.5,3,0.7,0,0.8,0.3,0.4,1.2,0.4,1.1,7.1,1.8,2.5,3.1,3.3,7.5,1.8,2.3,2.3,1,4.7,7.5,4.8,3.8,0.3,1.5,3.1,1.7,10.5,3.7,5.1,5.3,8.4,6.3,2.4,2.1,2.8,7.7
"09-309","U/N Reef",-9.3,5.8,6.7,5.8,0.7,2.2,3.5,2.5,3,0.7,0,0.8,0.3,0.4,1.2,0.4,1.1,7.1,1.8,2.5,3.1,3.3,7.5,1.8,2.3,2.3,1,4.7,7.5,4.8,3.8,0.3,1.5,3.1,1.7,10.5,3.7,5.1,5.3,8.4,6.3,2.4,2.1,2.8,7.7
"09-310","U/N Reef",-9.3,5.8,6.7,5.8,0.7,2.2,3.5,2.5,3,0.7,0,0.8,0.3,0.4,1.2,0.4,1.1,7.1,1.8,2.5,3.1,3.3,7.5,1.8,2.3,2.3,1,4.7,7.5,4.8,3.8,0.3,1.5,3.1,1.7,10.5,3.7,5.1,5.3,8.4,6.3,2.4,2.1,2.8,7.7
"09-313","U/N Reef",-9.9,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-314","Hastings Reef",-9.8,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-315","U/N Reef",-9.7,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-316","Adrian Reef",-9.5,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-317","Phipi Reef",-9.6,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-318","U/N Reef",-9.6,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-319","Mourilyan Reef",-9.8,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-320","U/N Reef",-9.8,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-321","U/N Reef",-9.8,5.9,5.4,7.5,1,2.2,3.3,1.7,3.2,0.6,0,0.3,0,1.2,1.5,1,1.5,7.8,0.7,2.3,2.3,3.8,10.2,1.8,2.9,3.2,1.6,3.7,6.9,7.2,7.2,0.7,1.9,4.6,1.7,11.6,4.7,6.2,6.5,11.4,6,3.5,1.5,5,10.6
"09-322","U/N Reef",-9.6,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-324","U/N Reef",-9.7,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
"09-325","Nicholls Cay",-9.7,6,5.1,6.2,0.7,2.1,3.1,2.2,3.2,0.5,0,0.6,0,0.5,1.4,1,1.6,7.6,0.6,2.7,2.7,3.6,9.9,1.7,2.7,2.7,1.4,4.1,6.2,5.9,5.9,0.7,1.9,4,2.1,10.3,4.7,6,6.4,10.5,5.9,2.5,2,3.7,8.3
